Arma,Coleccion,Grado,FloatMin,FloatMax
AK-47 | Aquamarine Revenge,The Falchion Collection,covert,0.0,1.0
AK-47 | Asiimov,The Danger Zone Collection,covert,0.05,0.7
AK-47 | B the Monster,The Overpass 2024 Collection,covert,0.0,0.8
AK-47 | Baroque Purple,The Canals Collection,industrial,0.0,1.0
AK-47 | Black Laminate,The Vertigo Collection,mil-spec,0.0,1.0
AK-47 | Bloodsport,The Spectrum Collection,covert,0.0,0.45
AK-47 | Blue Laminate,The eSports 2013 Winter Collection,restricted,0.02,0.4
AK-47 | Cartel,The Chroma Collection,classified,0.0,0.75
AK-47 | Case Hardened,The Arms Deal Collection,classified,0.0,1.0
AK-47 | Crossfade,The Graphic Design Collection,mil-spec,0.0,0.5
AK-47 | Elite Build,The Chroma 2 Collection,mil-spec,0.0,1.0
AK-47 | Emerald Pinstripe,The Bank Collection,restricted,0.0,1.0
AK-47 | Fire Serpent,The Bravo Collection,covert,0.0,0.76
AK-47 | First Class,The Baggage Collection,restricted,0.0,1.0
AK-47 | Frontside Misty,The Shadow Collection,classified,0.02,0.87
AK-47 | Fuel Injector,The Wildfire Collection,covert,0.0,1.0
AK-47 | Gold Arabesque,The 2021 Dust 2 Collection,covert,0.0,0.7
AK-47 | Green Laminate,The 2021 Vertigo Collection,mil-spec,0.02,0.4
AK-47 | Head Shot,The Revolution Collection,covert,0.0,1.0
AK-47 | Hydroponic,The Rising Sun Collection,classified,0.0,0.8
AK-47 | Ice Coaled,The Recoil Collection,classified,0.0,0.77
AK-47 | Inheritance,The Kilowatt Collection,covert,0.0,0.797346
AK-47 | Jaguar,The eSports 2014 Summer Collection,covert,0.0,1.0
AK-47 | Jet Set,The Baggage Collection,classified,0.0,1.0
AK-47 | Jungle Spray,The Aztec Collection,industrial,0.0,1.0
AK-47 | Leet Museo,The Operation Riptide Collection,covert,0.0,0.65
AK-47 | Legion of Anubis,The Fracture Collection,covert,0.0,0.7
AK-47 | Midnight Laminate,The Ascent Collection,restricted,0.0,0.75
AK-47 | Neon Revolution,#CSGO_set_gamma_2,covert,0.0,0.8
AK-47 | Neon Rider,The Horizon Collection,covert,0.0,0.8
AK-47 | Nightwish,The Dreams & Nightmares Collection,covert,0.0,1.0
AK-47 | Nouveau Rouge,The Radiant Collection,classified,0.0,1.0
AK-47 | Olive Polycam,The Sport & Field Collection,industrial,0.0,0.5
AK-47 | Orbit Mk01,The Operation Hydra Collection,restricted,0.0,0.55
AK-47 | Panthera onca,The Ancient Collection,classified,0.0,1.0
AK-47 | Phantom Disruptor,The Prisma 2 Collection,classified,0.0,0.65
AK-47 | Point Disarray,The Revolver Case Collection,classified,0.0,0.67
AK-47 | Predator,The Dust Collection,industrial,0.0,1.0
AK-47 | Rat Rod,The Shattered Web Collection,restricted,0.0,1.0
AK-47 | Red Laminate,The eSports 2013 Collection,classified,0.0,1.0
AK-47 | Redline,The Phoenix Collection,classified,0.1,0.7
AK-47 | Safari Mesh,The Dust 2 Collection,industrial,0.0,1.0
AK-47 | Safety Net,The 2018 Inferno Collection,restricted,0.0,0.6
AK-47 | Searing Rage,The Fever Collection,classified,0.0,1.0
AK-47 | Slate,The Snakebite Collection,restricted,0.0,1.0
AK-47 | Steel Delta,The Anubis Collection,mil-spec,0.0,0.73
AK-47 | The Empress,The Spectrum 2 Collection,covert,0.0,1.0
AK-47 | The Outsiders,The Gallery Collection,classified,0.0,0.9
AK-47 | Uncharted,The Prisma Collection,mil-spec,0.0,0.75
AK-47 | VariCamo Grey,The Boreal Collection,industrial,0.0,0.671875
AK-47 | Vulcan,The Huntsman Collection,covert,0.0,0.9
AK-47 | Wasteland Rebel,The Vanguard Collection,covert,0.05,0.7
AK-47 | Wild Lotus,The St. Marc Collection,covert,0.0,1.0
AK-47 | Wintergreen,The Boreal Collection,mil-spec,0.0,0.75
AK-47 | X-Ray,The Havoc Collection,covert,0.0,1.0
AUG | Akihabara Accept,The Rising Sun Collection,covert,0.0,1.0
AUG | Amber Fade,The 2021 Train Collection,mil-spec,0.0,0.4
AUG | Amber Slipstream,The Horizon Collection,mil-spec,0.0,0.55
AUG | Anodized Navy,The Alpha Collection,mil-spec,0.0,0.08
AUG | Arctic Wolf,The Shattered Web Collection,restricted,0.0,0.7
AUG | Aristocrat,The Gamma Collection,restricted,0.0,0.66
AUG | Bengal Tiger,The eSports 2014 Summer Collection,classified,0.0,1.0
AUG | Carved Jade,The Ancient Collection,mil-spec,0.0,0.2
AUG | Chameleon,The Phoenix Collection,covert,0.0,0.5
AUG | Colony,The Mirage Collection,consumer,0.0,1.0
AUG | Commando Company,The Boreal Collection,consumer,0.0,0.65
AUG | Condemned,The Safehouse Collection,industrial,0.0,1.0
AUG | Contractor,The Italy Collection,consumer,0.0,1.0
AUG | Copperhead,The Dust Collection,mil-spec,0.12,0.38
AUG | Daedalus,The Gods and Monsters Collection,consumer,0.0,0.55
AUG | Death by Puppy,The CS20 Collection,classified,0.0,0.4
AUG | Eye of Zapems,The Overpass 2024 Collection,restricted,0.0,0.85
AUG | Flame Jörmungandr,The Norse Collection,restricted,0.0,0.5
AUG | Fleet Flock,The Chroma 3 Collection,classified,0.0,1.0
AUG | Hot Rod,The Assault Collection,mil-spec,0.0,0.08
AUG | Lil' Pig,The Graphic Design Collection,classified,0.0,0.8
AUG | Luxe Trim,The Gallery Collection,mil-spec,0.0,0.9
AUG | Midnight Lily,The St. Marc Collection,restricted,0.0,0.5
AUG | Momentum,The Prisma Collection,classified,0.05,1.0
AUG | Navy Murano,The Canals Collection,consumer,0.0,1.0
AUG | Plague,The Operation Riptide Collection,mil-spec,0.0,0.76
AUG | Radiation Hazard,The Cache Collection,industrial,0.0,0.55
AUG | Random Access,The 2018 Nuke Collection,restricted,0.0,0.5
AUG | Ricochet,The Revolver Case Collection,mil-spec,0.0,0.8
AUG | Sand Storm,The 2021 Mirage Collection,restricted,0.0,0.5
AUG | Snake Pit,The Anubis Collection,consumer,0.0,0.55
AUG | Spalted Wood,The 2021 Dust 2 Collection,industrial,0.0,0.48
AUG | Steel Sentinel,The Train 2025 Collection,industrial,0.0,1.0
AUG | Storm,The Lake Collection,consumer,0.0,1.0
AUG | Stymphalian,The Clutch Collection,classified,0.0,0.63
AUG | Surveillance,The Control Collection,consumer,0.0,0.6
AUG | Sweeper,The 2018 Inferno Collection,consumer,0.0,0.6
AUG | Syd Mead,#CSGO_set_gamma_2,classified,0.0,0.8
AUG | Tom Cat,The Prisma 2 Collection,mil-spec,0.0,0.8
AUG | Torque,The Huntsman Collection,restricted,0.0,0.5
AUG | Triqua,The Spectrum 2 Collection,mil-spec,0.0,1.0
AUG | Wings,The Arms Deal Collection,mil-spec,0.0,0.14
AWP | Acheron,The 2018 Nuke Collection,mil-spec,0.0,0.83
AWP | Arsenic Spill,The Radiant Collection,mil-spec,0.0,0.501961
AWP | Asiimov,The Phoenix Collection,covert,0.18,1.0
AWP | Atheris,The Prisma Collection,restricted,0.0,1.0
AWP | BOOM,The eSports 2013 Collection,classified,0.0,0.28
AWP | Black Nile,The Anubis Collection,mil-spec,0.0,0.75
AWP | CMYK,The Graphic Design Collection,covert,0.0,0.8
AWP | Capillary,The Prisma 2 Collection,mil-spec,0.05,0.7
AWP | Chromatic Aberration,The Recoil Collection,covert,0.0,0.7
AWP | Chrome Cannon,The Kilowatt Collection,covert,0.0,1.0
AWP | Containment Breach,The Shattered Web Collection,covert,0.0,1.0
AWP | Corticera,The eSports 2014 Summer Collection,classified,0.0,0.3
AWP | Crakow!,The Overpass 2024 Collection,classified,0.0,1.0
AWP | Desert Hydra,The 2021 Mirage Collection,covert,0.0,0.6
AWP | Dragon Lore,The Cobblestone Collection,covert,0.0,0.7
AWP | Duality,The Revolution Collection,classified,0.0,0.8
AWP | Electric Hive,The eSports 2013 Winter Collection,classified,0.0,0.4
AWP | Elite Build,The Wildfire Collection,classified,0.0,1.0
AWP | Exoskeleton,The Operation Broken Fang Collection,restricted,0.0,1.0
AWP | Fade,The Control Collection,covert,0.0,0.08
AWP | Fever Dream,The Spectrum Collection,classified,0.0,0.55
AWP | Graphite,The Bravo Collection,classified,0.0,0.12
AWP | Green Energy,The Boreal Collection,classified,0.0,0.75
AWP | Gungnir,The Norse Collection,covert,0.0,0.6
AWP | Hyper Beast,The Falchion Collection,covert,0.0,1.0
AWP | Lightning Strike,The Arms Deal Collection,covert,0.0,0.08
AWP | LongDog,The Train 2025 Collection,covert,0.0,1.0
AWP | Man-o'-war,The Chroma Collection,covert,0.1,0.2
AWP | Medusa,The Gods and Monsters Collection,covert,0.0,1.0
AWP | Mortis,The Clutch Collection,classified,0.0,0.64
AWP | Neo-Noir,The Danger Zone Collection,covert,0.0,0.5
AWP | Oni Taiji,The Operation Hydra Collection,covert,0.0,0.5
AWP | PAW,The Horizon Collection,restricted,0.0,0.5
AWP | POP AWP,The 2021 Train Collection,restricted,0.0,0.44
AWP | Phobos,The Gamma Collection,restricted,0.0,0.4
AWP | Pink DDPAT,The Overpass Collection,restricted,0.0,1.0
AWP | Pit Viper,The Italy Collection,restricted,0.08,0.5
AWP | Printstream,The Fever Collection,covert,0.0,1.0
AWP | Redline,The Winter Offensive Collection,classified,0.1,0.4
AWP | Safari Mesh,The Lake Collection,industrial,0.0,1.0
AWP | Silk Tiger,The Havoc Collection,classified,0.0,0.6
AWP | Snake Camo,The Dust Collection,mil-spec,0.0,1.0
AWP | Sun in Leo,The Gods and Monsters Collection,industrial,0.0,0.5
AWP | The Prince,The Canals Collection,covert,0.0,0.6
AWP | Wildfire,The CS20 Collection,covert,0.01,0.7
AWP | Worm God,The Chroma 2 Collection,restricted,0.0,0.45
CZ75-Auto | Army Sheen,The Chop Shop Collection,consumer,0.0,0.3
CZ75-Auto | Chalice,The Cobblestone Collection,restricted,0.0,0.1
CZ75-Auto | Circaetus,The Snakebite Collection,mil-spec,0.0,0.9
CZ75-Auto | Copper Fiber,The Train 2025 Collection,industrial,0.0,0.563291
CZ75-Auto | Crimson Web,The Arms Deal 3 Collection,mil-spec,0.0,1.0
CZ75-Auto | Distressed,The Prisma 2 Collection,mil-spec,0.0,1.0
CZ75-Auto | Eco,The Horizon Collection,restricted,0.0,1.0
CZ75-Auto | Emerald,The Chop Shop Collection,mil-spec,0.0,0.08
CZ75-Auto | Emerald Quartz,The Norse Collection,mil-spec,0.0,0.7
CZ75-Auto | Framework,The 2021 Vertigo Collection,consumer,0.0,0.8
CZ75-Auto | Green Plaid,The Baggage Collection,consumer,0.0,0.58
CZ75-Auto | Hexane,The eSports 2014 Summer Collection,mil-spec,0.0,0.4
CZ75-Auto | Imprint,#CSGO_set_gamma_2,mil-spec,0.0,1.0
CZ75-Auto | Indigo,The Canals Collection,consumer,0.06,0.8
CZ75-Auto | Jungle Dashed,The Control Collection,consumer,0.0,1.0
CZ75-Auto | Midnight Palm,The 2021 Mirage Collection,industrial,0.0,0.5
CZ75-Auto | Nitro,The Overpass Collection,mil-spec,0.06,0.8
CZ75-Auto | Pink Pearl,The Radiant Collection,consumer,0.0,0.7
CZ75-Auto | Poison Dart,The Huntsman Collection,mil-spec,0.0,0.7
CZ75-Auto | Pole Position,The Chroma 2 Collection,restricted,0.0,0.7
CZ75-Auto | Polymer,The Glove Collection,mil-spec,0.0,0.5
CZ75-Auto | Red Astor,The Chroma 3 Collection,restricted,0.0,1.0
CZ75-Auto | Silver,The Ancient Collection,industrial,0.0,0.08
CZ75-Auto | Slalom,The Graphic Design Collection,restricted,0.0,0.57
CZ75-Auto | Syndicate,The 2021 Train Collection,restricted,0.0,0.7
CZ75-Auto | Tacticat,The Spectrum 2 Collection,restricted,0.0,0.7
CZ75-Auto | The Fuschia Is Now,The Arms Deal 3 Collection,classified,0.0,0.4
CZ75-Auto | Tigris,The Breakout Collection,restricted,0.0,1.0
CZ75-Auto | Tread Plate,The Arms Deal 3 Collection,restricted,0.0,0.2
CZ75-Auto | Tuxedo,The Bank Collection,mil-spec,0.0,0.8
CZ75-Auto | Twist,The Huntsman Collection,mil-spec,0.0,1.0
CZ75-Auto | Vendetta,The Operation Broken Fang Collection,mil-spec,0.0,1.0
CZ75-Auto | Victoria,The Arms Deal 3 Collection,covert,0.0,0.75
CZ75-Auto | Xiangliu,The Spectrum Collection,classified,0.0,0.56
CZ75-Auto | Yellow Jacket,The Falchion Collection,classified,0.0,1.0
Desert Eagle | Blaze,The Dust Collection,restricted,0.0,0.08
Desert Eagle | Blue Ply,The Prisma 2 Collection,mil-spec,0.0,1.0
Desert Eagle | Bronze Deco,The Chroma 2 Collection,mil-spec,0.0,0.46
Desert Eagle | Calligraffiti,The Gallery Collection,mil-spec,0.0,1.0
Desert Eagle | Cobalt Disruption,The eSports 2013 Winter Collection,classified,0.0,0.2
Desert Eagle | Code Red,The Horizon Collection,covert,0.0,1.0
Desert Eagle | Conspiracy,The Breakout Collection,classified,0.0,0.3
Desert Eagle | Corinthian,The Revolver Case Collection,mil-spec,0.0,0.44
Desert Eagle | Crimson Web,The eSports 2014 Summer Collection,restricted,0.0,1.0
Desert Eagle | Directive,#CSGO_set_gamma_2,restricted,0.06,1.0
Desert Eagle | Emerald Jörmungandr,The Norse Collection,restricted,0.0,0.5
Desert Eagle | Fennec Fox,The 2021 Mirage Collection,classified,0.0,0.8
Desert Eagle | Golden Koi,The Bravo Collection,covert,0.0,0.12
Desert Eagle | Hand Cannon,The Cobblestone Collection,restricted,0.01,0.7
Desert Eagle | Heat Treated,Limited Edition Item,classified,0.0,1.0
Desert Eagle | Heirloom,The Arms Deal 3 Collection,restricted,0.0,0.8
Desert Eagle | Hypnotic,The Arms Deal Collection,classified,0.0,0.08
Desert Eagle | Kumicho Dragon,The Wildfire Collection,classified,0.0,0.76
Desert Eagle | Light Rail,The Prisma Collection,restricted,0.0,0.9
Desert Eagle | Mecha Industries,The Danger Zone Collection,classified,0.0,0.6
Desert Eagle | Meteorite,The Bank Collection,mil-spec,0.0,0.18
Desert Eagle | Midnight Storm,The Rising Sun Collection,industrial,0.0,0.75
Desert Eagle | Mint Fan,The Ascent Collection,mil-spec,0.0,0.6
Desert Eagle | Mudder,The Lake Collection,industrial,0.0,1.0
Desert Eagle | Mulberry,The Radiant Collection,restricted,0.0,0.75
Desert Eagle | Naga,The Chroma Collection,restricted,0.0,1.0
Desert Eagle | Night,The Chop Shop Collection,industrial,0.0,1.0
Desert Eagle | Night Heist,The Havoc Collection,mil-spec,0.0,0.65
Desert Eagle | Ocean Drive,The Operation Riptide Collection,covert,0.0,1.0
Desert Eagle | Oxide Blaze,The Spectrum Collection,mil-spec,0.0,0.5
Desert Eagle | Pilot,The Baggage Collection,restricted,0.0,1.0
Desert Eagle | Printstream,The Fracture Collection,covert,0.0,0.8
Desert Eagle | Serpent Strike,The Fever Collection,restricted,0.0,0.57
Desert Eagle | Sputnik,The 2021 Train Collection,mil-spec,0.0,0.5
Desert Eagle | Starcade,The Graphic Design Collection,classified,0.0,0.75
Desert Eagle | Sunset Storm 壱,The Rising Sun Collection,restricted,0.0,0.75
Desert Eagle | Sunset Storm 弐,The Rising Sun Collection,restricted,0.0,0.75
Desert Eagle | The Bronze,The Control Collection,industrial,0.0,0.3
Desert Eagle | Tilted,The Overpass 2024 Collection,industrial,0.0,0.75
Desert Eagle | Trigger Discipline,The Snakebite Collection,restricted,0.0,0.97
Desert Eagle | Urban DDPAT,The Overpass Collection,industrial,0.0,1.0
Desert Eagle | Urban Rubble,The Train Collection,mil-spec,0.0,0.5
Dual Berettas | Anodized Navy,The Inferno Collection,mil-spec,0.0,0.08
Dual Berettas | Balance,The Shattered Web Collection,mil-spec,0.0,1.0
Dual Berettas | Black Limba,The Bravo Collection,mil-spec,0.0,1.0
Dual Berettas | BorDeux,The Radiant Collection,consumer,0.0,0.8
Dual Berettas | Briar,The Cobblestone Collection,consumer,0.0,0.22
Dual Berettas | Cartel,The Wildfire Collection,mil-spec,0.0,1.0
Dual Berettas | Cobalt Quartz,The Lake Collection,restricted,0.0,0.4
Dual Berettas | Cobra Strike,The Operation Hydra Collection,classified,0.0,0.6
Dual Berettas | Colony,The Train Collection,consumer,0.0,1.0
Dual Berettas | Contractor,The Safehouse Collection,consumer,0.0,1.0
Dual Berettas | Demolition,The Vertigo Collection,restricted,0.26,0.6
Dual Berettas | Dezastre,The Operation Broken Fang Collection,restricted,0.0,1.0
Dual Berettas | Drift Wood,The 2021 Mirage Collection,industrial,0.0,0.6
Dual Berettas | Dualing Dragons,The Shadow Collection,mil-spec,0.0,1.0
Dual Berettas | Duelist,The Chop Shop Collection,restricted,0.0,1.0
Dual Berettas | Elite 1.6,The CS20 Collection,mil-spec,0.0,0.7
Dual Berettas | Emerald,The Canals Collection,mil-spec,0.0,0.08
Dual Berettas | Flora Carnivora,The Recoil Collection,restricted,0.0,1.0
Dual Berettas | Heist,The Havoc Collection,consumer,0.0,0.7
Dual Berettas | Hemoglobin,The Arms Deal 2 Collection,restricted,0.0,0.2
Dual Berettas | Hideout,The Kilowatt Collection,mil-spec,0.0,0.698529
Dual Berettas | Hydro Strike,The Gallery Collection,restricted,0.0,0.801418
Dual Berettas | Marina,The Winter Offensive Collection,restricted,0.05,0.5
Dual Berettas | Melondrama,The Dreams & Nightmares Collection,classified,0.0,1.0
Dual Berettas | Moon in Libra,The Gods and Monsters Collection,consumer,0.0,0.5
Dual Berettas | Oil Change,The 2021 Vertigo Collection,consumer,0.0,0.5
Dual Berettas | Panther,The Arms Deal 3 Collection,mil-spec,0.0,0.58
Dual Berettas | Polished Malachite,The Boreal Collection,industrial,0.0,0.8
Dual Berettas | Pyre,The Norse Collection,industrial,0.06,0.55
Dual Berettas | Retribution,The Huntsman Collection,mil-spec,0.0,0.45
Dual Berettas | Rose Nacre,The Ascent Collection,industrial,0.0,0.7
Dual Berettas | Royal Consorts,The Glove Collection,restricted,0.0,1.0
Dual Berettas | Shred,The Horizon Collection,mil-spec,0.0,0.5
Dual Berettas | Stained,The Italy Collection,industrial,0.0,1.0
Dual Berettas | Sweet Little Angels,The Overpass 2024 Collection,restricted,0.0,0.82
Dual Berettas | Switch Board,The Control Collection,industrial,0.0,0.65
Dual Berettas | Tread,The Operation Riptide Collection,mil-spec,0.0,1.0
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,classified,0.0,1.0
Dual Berettas | Urban Shock,The Chroma Collection,restricted,0.0,0.47
Dual Berettas | Ventilators,The Chroma 3 Collection,mil-spec,0.0,0.45
FAMAS | 2A2F,The Train 2025 Collection,mil-spec,0.0,0.86
FAMAS | Afterimage,The eSports 2013 Winter Collection,classified,0.02,0.4
FAMAS | Bad Trip,The Fever Collection,covert,0.0,1.0
FAMAS | CaliCamo,The 2021 Mirage Collection,industrial,0.0,0.6
FAMAS | Colony,The Italy Collection,consumer,0.0,1.0
FAMAS | Commemoration,The CS20 Collection,covert,0.0,0.5
FAMAS | Contrast Spray,The Office Collection,consumer,0.0,1.0
FAMAS | Crypsis,The Prisma Collection,mil-spec,0.0,0.55
FAMAS | Cyanospatter,The Lake Collection,industrial,0.0,1.0
FAMAS | Dark Water,The Ancient Collection,mil-spec,0.1,0.26
FAMAS | Decommissioned,The CS20 Collection,mil-spec,0.0,1.0
FAMAS | Djinn,The Chroma 2 Collection,classified,0.0,1.0
FAMAS | Doomkitty,The eSports 2013 Collection,mil-spec,0.08,0.22
FAMAS | Eye of Athena,The Horizon Collection,classified,0.0,0.7
FAMAS | Faulty Wiring,The 2021 Vertigo Collection,consumer,0.0,0.5
FAMAS | Grey Ghost,The Radiant Collection,industrial,0.0,0.637288
FAMAS | Half Sleeve,The Sport & Field Collection,industrial,0.0,1.0
FAMAS | Halftone Wash,The Graphic Design Collection,industrial,0.0,0.5
FAMAS | Hexane,The Arms Deal 2 Collection,mil-spec,0.0,0.4
FAMAS | Macabre,The Operation Hydra Collection,mil-spec,0.0,0.6
FAMAS | Mecha Industries,The Glove Collection,classified,0.0,0.5
FAMAS | Meltdown,The 2021 Train Collection,classified,0.0,0.4
FAMAS | Meow 36,The Recoil Collection,mil-spec,0.0,1.0
FAMAS | Neural Net,The Falchion Collection,restricted,0.0,0.6
FAMAS | Night Borre,The Norse Collection,consumer,0.0,0.55
FAMAS | Palm,The Boreal Collection,consumer,0.0,0.75
FAMAS | Prime Conspiracy,The Control Collection,restricted,0.0,0.55
FAMAS | Pulse,The Winter Offensive Collection,restricted,0.0,0.4
FAMAS | Rapid Eye Movement,The Dreams & Nightmares Collection,classified,0.0,1.0
FAMAS | Roll Cage,#CSGO_set_gamma_2,covert,0.0,1.0
FAMAS | Sergeant,The Phoenix Collection,restricted,0.1,1.0
FAMAS | Spitfire,The Alpha Collection,restricted,0.0,1.0
FAMAS | Styx,The Cache Collection,restricted,0.0,0.6
FAMAS | Sundown,The St. Marc Collection,mil-spec,0.0,0.6
FAMAS | Survivor Z,The Shadow Collection,mil-spec,0.0,0.6
FAMAS | Teardown,The Safehouse Collection,mil-spec,0.0,0.6
FAMAS | Valence,The Wildfire Collection,restricted,0.0,0.8
FAMAS | Waters of Nephthys,The Anubis Collection,classified,0.0,0.7
FAMAS | Yeti Camo,The Ascent Collection,mil-spec,0.0,0.7
FAMAS | ZX Spectron,The Operation Riptide Collection,restricted,0.0,1.0
Five-SeveN | Angry Mob,The Prisma Collection,covert,0.0,0.7
Five-SeveN | Anodized Gunmetal,The Alpha Collection,consumer,0.0,0.08
Five-SeveN | Autumn Thicket,The Radiant Collection,consumer,0.0,0.636986
Five-SeveN | Berries And Cherries,The Control Collection,restricted,0.0,0.1
Five-SeveN | Boost Protocol,The Operation Riptide Collection,restricted,0.0,0.41
Five-SeveN | Buddy,The CS20 Collection,restricted,0.0,0.55
Five-SeveN | Candy Apple,The Assault Collection,industrial,0.0,0.3
Five-SeveN | Capillary,The Spectrum Collection,mil-spec,0.0,0.7
Five-SeveN | Case Hardened,The Arms Deal 2 Collection,restricted,0.0,1.0
Five-SeveN | Contractor,The Mirage Collection,consumer,0.0,1.0
Five-SeveN | Coolant,The 2018 Nuke Collection,consumer,0.0,0.5
Five-SeveN | Copper Galaxy,The Arms Deal 3 Collection,restricted,0.0,0.2
Five-SeveN | Crimson Blossom,The St. Marc Collection,mil-spec,0.0,0.5
Five-SeveN | Fairy Tale,The Operation Broken Fang Collection,classified,0.02,0.9
Five-SeveN | Fall Hazard,The 2021 Vertigo Collection,classified,0.01,0.52
Five-SeveN | Flame Test,The Clutch Collection,mil-spec,0.0,0.65
Five-SeveN | Forest Night,The Train Collection,consumer,0.0,1.0
Five-SeveN | Fowl Play,The Breakout Collection,classified,0.0,1.0
Five-SeveN | Heat Treated,The Sport & Field Collection,restricted,0.0,1.0
Five-SeveN | Hot Shot,The Cache Collection,industrial,0.0,1.0
Five-SeveN | Hybrid,The Kilowatt Collection,restricted,0.0,1.0
Five-SeveN | Hyper Beast,The Operation Hydra Collection,covert,0.0,1.0
Five-SeveN | Jungle,The Aztec Collection,consumer,0.0,1.0
Five-SeveN | Kami,The Winter Offensive Collection,mil-spec,0.0,0.3
Five-SeveN | Midnight Paintover,The Overpass 2024 Collection,industrial,0.0,0.5
Five-SeveN | Monkey Business,The Chroma 2 Collection,classified,0.1,0.9
Five-SeveN | Neon Kimono,The Rising Sun Collection,restricted,0.0,0.8
Five-SeveN | Nightshade,The eSports 2013 Winter Collection,mil-spec,0.0,0.5
